ico_name,member_order,member_name,position,description,linktype,link,member_type
Artyfact Metaverse,1,Oleg Boytsov   ,Founder & CEO,Takes part in this project only,linkedin,https://www.linkedin.com/in/olegboytsov,normal
Artyfact Metaverse,2,Dalton Grant Jnr,Operations Manager,Takes part in this project only,linkedin,https://icoholder.com/en/v2/ico/www.linkedin.com/in/dalton-grant-jnr-63aa0b29/,normal
Artyfact Metaverse,3,Cameron Pino,CMO,Takes part in this project only,linkedin,https://icoholder.com/en/v2/ico/ico-rwww.linkedin.com/in/cameron-pino-981ba92b/,normal
Artyfact Metaverse,4,Eugene Musienko   ,Adviser,Takes part in this project only,linkedin,https://www.linkedin.com/mwlite/in/eugene-musienko,advsisor
Wrapped Minima,1,Paddy Cerri,Co-Founder & Chief Blockchain ArchitectCo-Founder & Chief Blockchain Architect,Participates in a number of projects,twitter,https://twitter.com/Spartacuswrecks,normal
Wrapped Minima,2,Jon MacDonald,Chief Marketing Officer,Takes part in this project only,twitter,https://twitter.com/jmacdonald,normal
Wrapped Minima,3,Hugo Feiler,Co-Founder & Chief Executive Officer,Takes part in this project only,twitter,https://twitter.com/HugoFeiler,normal
ALTEUM,1,Víctor F. Navarro,FOUNDER & CEO,Takes part in this project only,linkedin,https://www.linkedin.com/in/victor-francisco-navarro-escamilla-b68b0845/,normal
ALTEUM,2,Javier Garza,FOUNDER & ALTEUM FOUNDATION,Takes part in this project only,linkedin,https://www.linkedin.com/in/javier-garza-05a05812b/,normal
ALTEUM,3,Alejandro Garza,CO-FOUNDER / CTO,Takes part in this project only,linkedin,https://www.linkedin.com/in/alejandro-garza-cuellar-49b06195/,normal
ALTEUM,4,Eduardo Cavazos,CO-FOUNDER / COO,Takes part in this project only,linkedin,https://www.linkedin.com/in/eduardo-cavazos-6692181b/,normal
ALTEUM,5,Ricardo Rocha,CO-FOUNDER / BUSINESS DEVELOPMENT,Takes part in this project only,linkedin,https://www.linkedin.com/in/ricardorochagranat/,normal
ALTEUM,6,Miguel Marcos,CFO,Takes part in this project only,linkedin,https://www.linkedin.com/in/miguel-marcos-6b505b78/,normal
ALTEUM,7,Ramiro Nava,CSO,Takes part in this project only,linkedin,https://www.linkedin.com/in/ramiro-antonio-nava-sauceda-ab7012144/,normal
ALTEUM,8,Herman Ramsden,RISK MANAGEMENT,Takes part in this project only,linkedin,https://www.linkedin.com/in/herman-ramsden-441889101/,normal
ALTEUM,9,Cristina Fuentevilla,HEAD OF COMMUNICATIONS,Takes part in this project only,linkedin,https://www.linkedin.com/in/cristina-fuentevilla-29709b159/,normal
ALTEUM,10,Alan Ríos,LEGAL & COMPLIANCE,Takes part in this project only,linkedin,https://www.linkedin.com/in/alan-rios-leal-b273204b/,normal
ALTEUM,11,Carlos Quintana,SENIOR SOFTWARE ARQUITECT,Takes part in this project only,linkedin,https://www.linkedin.com/in/carlosquintanas/,normal
ALTEUM,12,Daniel Márquez,SOFTWARE ENGINEER,Takes part in this project only,linkedin,https://www.linkedin.com/in/daniel-marquez-08397a25/,normal
ALTEUM,13,Ricardo Parra,SOFTWARE ENGINEER,Takes part in this project only,linkedin,https://www.linkedin.com/in/ricardo-javier-parra-alvarez-047ba558/,normal
ALTEUM,14,Manuel Valenzuela,RESEARCH AND DEVELOPMENT,Takes part in this project only,linkedin,https://www.linkedin.com/in/manuel-valenzuela-rendón-842188120,normal
Arealeum,1,Dr. Markus Handl  ,Founder,Takes part in this project only,linkedin,https://www.linkedin.com/in/markus-johannes-handl-9a911a93/,normal
Arealeum,2,Peter Wiesinger,Founder,Takes part in this project only,linkedin,https://www.linkedin.com/in/peter-wiesinger-385a7225a/,normal
Arealeum,3,Filip Markovic,CTO,Takes part in this project only,linkedin,https://www.linkedin.com/in/filip-markovic-37b66014a/,normal
Arealeum,4,Dalibor Peric  ,COO,Takes part in this project only,linkedin,https://www.linkedin.com/in/dali-peric-342382108/,normal
Arealeum,5,Martin Mildner,IT Consultant,Takes part in this project only,linkedin,https://www.linkedin.com/in/martinmildner/,normal
Arealeum,6,Frank Stronach  ,Advisor,Participates in a number of projects,website,https://en.wikipedia.org/wiki/Frank_Stronach,advsisor
GBX,1,Nick Cowan,CEO,Takes part in this project only,linkedin,https://www.linkedin.com/in/nick-cowan-00a1a439/,normal
GBX,2,Philip Young,Group Marketing Director,Takes part in this project only,linkedin,https://www.linkedin.com/in/philip-young-189312a4/,normal
GBX,3,William Rawley,Group Legal Counsel,Takes part in this project only,linkedin,https://www.linkedin.com/in/william-rawley-b83b1958/,normal
GBX,4,Adrian Hogg,CFO,Takes part in this project only,linkedin,https://www.linkedin.com/in/adrian-hogg-3561b5153,normal
GBX,5,Ben Soh,Executive Director,Takes part in this project only,linkedin,https://www.linkedin.com/in/benjamin-soh-68924b148/,normal
GBX,6,Thomas Chao,Director Business Development,Takes part in this project only,linkedin,https://www.linkedin.com/in/tchao1980/,normal
GBX,7,David Wang,Executive Director,Takes part in this project only,linkedin,https://www.linkedin.com/in/david-wang-27589a35/,normal
GBX,8,Daniel Evans,Manager Listings & Development,Takes part in this project only,linkedin,https://www.linkedin.com/in/danieljgevans/,normal
GBX,9,Ted Quek,Head of Technology Operations,Takes part in this project only,linkedin,https://www.linkedin.com/in/tedquek,normal
GBX,10,Daryl McFarlane,CTO,Takes part in this project only,linkedin,https://www.linkedin.com/in/daryl-mcfarlane-a0757348/,normal
GBX,11,Andrew Pal,CSO,Takes part in this project only,linkedin,https://www.linkedin.com/in/andrew-pal-0869814/,normal
GBX,12,Christopher Bruno,Marketing & Communications Director,Takes part in this project only,linkedin,https://www.linkedin.com/in/christopherbruno83/,normal
GBX,13,Donovan Obosi,Community Manager,Takes part in this project only,linkedin,https://www.linkedin.com/in/donovan-obosi-0b4999105/,normal
GBX,14,Daniel Cole,Marketing Executive,Takes part in this project only,linkedin,https://www.linkedin.com/in/danielc2/,normal
GBX,15,Yew Kiat Phang,Takes part in this project only,No description,linkedin,https://www.linkedin.com/in/yew-kiat-phang-2a346321/,advsisor
GBX,16,Jehan Chu,Participates in several projects,No description,linkedin,https://www.linkedin.com/in/jehan-chu-637101/,advsisor
GBX,17,Joey Garcia,Participates in several projects,No description,linkedin,https://www.linkedin.com/in/joeygarcia/,advsisor
GBX,18,Eddy Travia,Participates in a number of projects,No description,linkedin,https://www.linkedin.com/in/startupeddy/,advsisor
Ethernal Heroes,1,Ivan Petrov,Co-founder & CEO,Takes part in this project only,linkedin,https://www.linkedin.com/in/ione-petrov,normal
Ethernal Heroes,2,Stepan Burlakov,Chief Creative Officer,Takes part in this project only,linkedin,https://www.linkedin.com/in/stepan-burlakov-9533378/,normal
Ethernal Heroes,3,Andrey Rybushkin,Co-founder & CMO,Takes part in this project only,linkedin,https://www.linkedin.com/in/rybushkin/,normal
Ethernal Heroes,4,Sergey Zhilnikov,Chief Technology Officer,Participates in several projects,linkedin,https://www.linkedin.com/in/sergey-zhilnikov-9b32076b/,normal
Ethernal Heroes,5,Sergey Elgin,Server Technology,Takes part in this project only,linkedin,https://www.linkedin.com/in/axelr/,normal
Ethernal Heroes,6,Egor Grischenko,Lead Producer,Takes part in this project only,linkedin,https://www.linkedin.com/in/egor-grishenko-1815295/,normal
Ethernal Heroes,7,Sergey Konyaev,Producer,Takes part in this project only,linkedin,https://www.linkedin.com/in/serj-konyaev-58316baa/,normal
Ethernal Heroes,8,Konstantin Plavnik,Financial consulting,Takes part in this project only,linkedin,https://www.linkedin.com/in/konstantinplavnik/,advsisor
Ethernal Heroes,9,Yulia Plavnik,Expert at crowdfunding,Participates in several projects,linkedin,https://www.linkedin.com/in/plavnik/,advsisor
Ethernal Heroes,10,Tatiana Medvedeva,Head of product at Acquired.io,Takes part in this project only,linkedin,https://www.linkedin.com/in/tanyana/,advsisor
DeepCloud,1,Max Rye,Chief Executive Officer,Takes part in this project only,twitter,https://twitter.com/officialMaxRye,normal
DeepCloud,2,Geeta Chauhan,Chief Technology Officer,Takes part in this project only,twitter,https://twitter.com/geeta4c,normal
DeepCloud,3,Joseph Vargas,Principal AI/Cloud Architect,Takes part in this project only,linkedin,https://www.linkedin.com/in/joseph-vargas-56654a162/,normal
DeepCloud,4,Miroslav Sala,Chief Marketing Officer,Takes part in this project only,linkedin,https://www.linkedin.com/in/miroslavsala/,normal
DeepCloud,5,Felix Castro Rodriguez,Head of Development Team South America Region,Takes part in this project only,linkedin,https://www.linkedin.com/in/felix-castro-rodriguez-84b678162/,normal
DeepCloud,6,Benson Leung,Project Management Director,Takes part in this project only,linkedin,https://www.linkedin.com/in/bensoncyleung/,normal
DeepCloud,7,Darryl Lo,Business Development Manager,Takes part in this project only,linkedin,https://www.linkedin.com/in/darryl-lo/,normal
DeepCloud,8,Derin Karim,Head of Community Management,Takes part in this project only,linkedin,https://www.linkedin.com/in/derin-karim-11372b15a/,normal
DeepCloud,9,Maged Eljazzar,Head of AI/ML Engineering,Takes part in this project only,linkedin,https://www.linkedin.com/in/mmjazzar/,normal
DeepCloud,10,David Mendieta,Full Stack developer,Takes part in this project only,linkedin,https://www.linkedin.com/in/david-mendieta-a0254886/,normal
DeepCloud,11,Yurii Oleksyshyn,Senior Blockchain developer,Takes part in this project only,linkedin,https://www.linkedin.com/in/yurii-oleksyshyn-71574675/,normal
DeepCloud,12,Hitters Xu,"Blockchain Advisor, Founder & CEO of Nebulas",Takes part in this project only,linkedin,https://www.linkedin.com/in/hitters,advsisor
DeepCloud,13,Vishwas Manral,"Security Advisor, Founder & CEO Nano Sec",Participates in several projects,linkedin,https://www.linkedin.com/in/vishwasmanral/,advsisor
DeepCloud,14,Ahmed Sayed,AI/ Cloud Computing and Networking Advisor,Takes part in this project only,linkedin,https://www.linkedin.com/in/ahmedmabdelmoniem/,advsisor
DeepCloud,15,Hengky Susanto,Cloud Computing and Network Advisor,Takes part in this project only,linkedin,https://www.linkedin.com/in/hengky-hank-susanto-2965251/,advsisor
Digital Ticks,1,Jitu Bajaj,Chief Executive Officer,Takes part in this project only,linkedin,https://www.linkedin.com/in/jitu-bajaj/,normal
Digital Ticks,2,Mayur Poddar,Chief Communication Officer,Takes part in this project only,linkedin,https://www.linkedin.com/in/mayur-poddar/,normal
Digital Ticks,3,Pooja Juneja,Project Legal Advisor,Takes part in this project only,linkedin,https://www.linkedin.com/in/pooja-juneja-b2785515b,normal
Digital Ticks,4,Tushar Panchbudhe,Blockchain Develope,Takes part in this project only,linkedin,https://www.linkedin.com/in/tushar-panchbudhe-1092592a,normal
Digital Ticks,5,Gauri Bhagat,Social Media Community Manager,Takes part in this project only,linkedin,https://www.linkedin.com/in/gauri-bhagat-91bb8115a,normal
I'm Aero,1,Alexander Kosachev,Founder. CEO,Takes part in this project only,linkedin,https://www.linkedin.com/in/aleksandr-kosachev-8503b415a/,normal
I'm Aero,2,Daria Volkova,Co-founder,Takes part in this project only,linkedin,https://www.linkedin.com/in/daria-volkova-089530a7/,normal
I'm Aero,3,Sergey Mikryukov,Founder. Technical Director.,Takes part in this project only,linkedin,https://www.linkedin.com/in/sergey-mikryukov-68460a15b,normal
FinanceX,1,Shige Ohta,Co-founder & Chairman,Takes part in this project only,linkedin,https://www.linkedin.com/in/shige-ohta-45039011/,normal
FinanceX,2,Chien Tran,Co-founder & Vice Chairman,Takes part in this project only,linkedin,https://www.linkedin.com/in/chiennavisoft/,normal
FinanceX,3,Peter Dinh,Co-founder & CEO,Takes part in this project only,linkedin,https://www.linkedin.com/in/petersdinh/,normal
FinanceX,4,Henry Ng,Co-founder & CTO,Takes part in this project only,linkedin,https://www.linkedin.com/in/henry-ng-it,normal
FinanceX,5,Cuong Nguyen,Co-founder & CMO,Takes part in this project only,linkedin,https://www.linkedin.com/in/NguyenTheCuong-Ubank,normal
AGATE,1,Hamed Taghvaei,Co-Founder & CEO,Takes part in this project only,twitter,https://twitter.com/taghvaei/,normal
AGATE,2,Hamid Ostad,Co-Founder,Takes part in this project only,linkedin,https://www.linkedin.com/in/hamid-ostad-b3297658/,normal
AGATE,3,Ali Dorri,Co-Founder,Participates in several projects,linkedin,https://www.linkedin.com/in/ali-dorri-01398144/,normal
AGATE,4,Ehsan Jadandarpour,CMO,Takes part in this project only,linkedin,https://www.linkedin.com/in/ehsanjahandarpour/,normal
AGATE,5,Steve Nouri,AI Lead,Takes part in this project only,linkedin,https://www.linkedin.com/in/stevenouri/,normal
AGATE,6,Ashkan Tashvir,CTO,Takes part in this project only,linkedin,https://www.linkedin.com/in/tashvir/,normal
AGATE,7,Ariya Chittasy,CSO,Takes part in this project only,linkedin,https://www.linkedin.com/in/ariyachittasy/,normal
AGATE,8,Meysam Naseri,Software Architect,Takes part in this project only,linkedin,https://www.linkedin.com/in/samnaseri/,normal
AGATE,9,Anand Chellanadar,Director of Software Development Team in India,Takes part in this project only,linkedin,https://www.linkedin.com/in/anandonsite/,normal
AGATE,10,Nitin Sabherwal (Nathan Sabherwal),Investors Relations Manager,Takes part in this project only,linkedin,https://www.linkedin.com/in/nathan-sabherwal-366ab83/,normal
AGATE,11,Kalith Ahamed,Technical Lead,Takes part in this project only,linkedin,https://www.linkedin.com/in/kalith-ahamed-b7745515/,normal
AGATE,12,Naz Shams,Project Manager,Takes part in this project only,linkedin,https://www.linkedin.com/in/nazanin-shams-aa214b79/,normal
AGATE,13,Odette Abrenica,UI/UX Designer,Takes part in this project only,linkedin,https://www.linkedin.com/in/odette-abrenica/,normal
AGATE,14,Navkiran Kaur,Business Ananlyst,Takes part in this project only,linkedin,https://www.linkedin.com/in/0414057001/,normal
AGATE,15,Jaemie Dela Pena,Product Design Lead,Takes part in this project only,linkedin,https://www.linkedin.com/in/jaemiedp/,normal
AGATE,16,Ali Asgher,Business Ananlyst,Takes part in this project only,linkedin,https://www.linkedin.com/in/aliasgher1/,normal
AGATE,17,Brenton Smith,Advisor,Takes part in this project only,twitter,https://twitter.com/brentonsmith6,advsisor
Shercoin,1,Rehan Hassan,CEO and Co-Founder,Takes part in this project only,linkedin,https://www.linkedin.com/in/rehan-hassan-41a01516/,normal
Shercoin,2,Khurram Abdulla,COO and Co-Founder,Takes part in this project only,linkedin,https://www.linkedin.com/in/khurram-abdulla-b6a01048/,normal
Shercoin,3,Jahanzaib Riaz,VP Finance and Strategy,Takes part in this project only,linkedin,https://www.linkedin.com/in/jahanzaibriaz/,normal
Tokoin,1,Reiner Rahardja,Co-Founder & CEO,Takes part in this project only,linkedin,https://www.linkedin.com/in/lordreiner,normal
AGATE,18,Samaneh Movassaghi,Advisor,Takes part in this project only,linkedin,https://www.linkedin.com/in/samaneh-movassaghi/,advsisor
AGATE,19,Zachary Reece,Advisor,Participates in several projects,linkedin,https://www.linkedin.com/in/zacharyreece/,advsisor
AGATE,20,Nikzad B. Rizvandi,Advisor,Takes part in this project only,linkedin,https://www.linkedin.com/in/nikzad-b-rizvandi-85557938/,advsisor
AGATE,21,Gita Gitli,Advisor,Takes part in this project only,linkedin,https://www.linkedin.com/in/gita-gitli-a7729841,advsisor
Shercoin,4,Lmehdi Ouabi,Blockchain App Developer,Takes part in this project only,linkedin,https://www.linkedin.com/in/lmehdi-ouabi/?locale=en_US,normal
Shercoin,5,Saahir Hassan,Team Lead,Takes part in this project only,linkedin,https://www.linkedin.com/in/saahir-hassan-59a003b4/,normal
Shercoin,6,Ghulam Rasool,Senior UX & UI Designer,Takes part in this project only,linkedin,https://www.linkedin.com/in/ghulam-rasool-22848644/,normal
Tokoin,2,Welly Salim,CTO,Takes part in this project only,linkedin,https://www.linkedin.com/in/wellysalim/,normal
Tokoin,3,Andri Handoko,Product R&D Specialist,Takes part in this project only,linkedin,https://www.linkedin.com/in/andrikh/,normal
AGATE,22,Ehsan Fallahi,Advisor,Takes part in this project only,linkedin,https://www.linkedin.com/in/ehsan-fallahi-a2594752/,advsisor
Shercoin,7,Sarah Hosten,Digital and Social Media,Takes part in this project only,linkedin,https://www.linkedin.com/in/sarah-hosten-8a8897139/,normal
Shercoin,8,Evita Castro,Finance,Takes part in this project only,linkedin,https://www.linkedin.com/in/evita-ann-castro-74b9b4a3/,normal
Shercoin,9,Naviin Kapoor,Blockchain Expert | Project Management,Participates in a number of projects,linkedin,https://www.linkedin.com/in/naviinkapoor/,normal
Shercoin,10,Kokila Alagh,Fintech Lawyer,Participates in several projects,linkedin,https://www.linkedin.com/in/kokila-alagh-6662315/,normal
Shercoin,11,Julien Trottier,Blockchain expert | Marketing,Participates in several projects,linkedin,https://www.linkedin.com/in/julien-trottier/,normal
Tokoin,4,Tiago Alves,Participates in a number of projects,No description,linkedin,https://www.linkedin.com/in/tiagoalves/,advsisor
Tokoin,5,Dahlan Iskan,Takes part in this project only,No description,linkedin,https://www.linkedin.com/in/dahlaniskan,advsisor
Tokoin,6,Engeline Tjia,Takes part in this project only,No description,linkedin,https://www.linkedin.com/in/engelinetjia/,advsisor
Shercoin,12,Bogdan Fiedur,Smart Contract And Full Stack Developer,Participates in a number of projects,linkedin,https://www.linkedin.com/in/bogdanfiedur/,normal
Shercoin,13,Alexei Navolokin,Partnership & Alliances Advisor,Takes part in this project only,linkedin,https://www.linkedin.com/in/alexei-navolokin-5420563/,normal
Nebula Exchange,1,Rohan Juneja,CEO,Takes part in this project only,linkedin,https://www.linkedin.com/in/rohanjuneja/,normal
Nebula Exchange,2,Vincent Jaques,Founder,Participates in several projects,linkedin,https://www.linkedin.com/in/vincent-jacques/,normal
Nebula Exchange,3,Nathan Collins,CPO,Takes part in this project only,linkedin,https://www.linkedin.com/in/nathan-collins-354794155/,normal
Nebula Exchange,4,Charles Li,Business Development and Strategic Alliances,Takes part in this project only,linkedin,https://www.linkedin.com/in/charles-li-4aabb82a/,normal
Nebula Exchange,5,Parany Ramilison,Lead Developer,Takes part in this project only,linkedin,https://www.linkedin.com/in/ramilison-andriamparany-895aa4161/,normal
Nebula Exchange,6,Delphin Rakotonindrina,Full Stack Developer,Takes part in this project only,linkedin,https://www.linkedin.com/in/delphin-rakotonindrina-876687140/,normal
Nebula Exchange,7,Frederic Ramandaniarivo,Senior Developer,Takes part in this project only,linkedin,https://www.linkedin.com/in/fredericramandaniarivo,normal
Nebula Exchange,8,Rohit Behl,UI/UX Designer,Takes part in this project only,linkedin,https://www.linkedin.com/in/rohit-behl-96220a58/,normal
Nebula Exchange,9,Joelisata Rabeharisolo,Developer,Takes part in this project only,linkedin,https://www.linkedin.com/in/joelisata-js,normal
Nebula Exchange,10,Deepak Kaushik,Web Expert,Takes part in this project only,linkedin,https://www.linkedin.com/in/deepak-kaushik,normal
PORT Network,1,Janusz Siuda,CEO,Takes part in this project only,linkedin,https://www.linkedin.com/in/janusz-siuda-9a8436211/,normal
Crypto Stake,1,Gary Pemberton ,(UK) Director  ,Takes part in this project only,linkedin,https://www.linkedin.com/in/gary-pemberton-307282221/   ,normal
Crypto Stake,2,Georgina Reynolds  ,(UK) Director  ,Takes part in this project only,website, ,normal
Crypto Stake,3,Lauren Hollingsworth  ,(UK) Legal Advisor  ,Takes part in this project only,linkedin,http://linkedin.com/in/lauren-hollingworth-b23150180,advsisor
PORT Network,2,Lev Rahimov,Developer,Participates in a number of projects,website,https://www.facebook.com/profile.php?id=100004425874941,normal
PORT Network,3,Thorsten Schneider,Developer,Takes part in this project only,linkedin,https://www.linkedin.com/in/thorsten-schneider-681676211/,normal
ReverseDAO,1,Gabrielle Dimery,Marketing | Growth,Takes part in this project only,linkedin,https://www.linkedin.com/in/gabrielledimery/,normal
ReverseDAO,2,Jason Shek,CEO and Founder,Takes part in this project only,linkedin,https://www.linkedin.com/in/shek-jason-105b1812/,normal
ReverseDAO,3,Helen Lee,Branding | Marketing,Takes part in this project only,linkedin,https://www.linkedin.com/in/hanna-lee-76948b152/,normal
ReverseDAO,4,Charlie Kong,Lead Application Developer,Takes part in this project only,website, ,normal
ReverseDAO,5,Nip King Hung,Team member,Takes part in this project only,linkedin,https://www.linkedin.com/in/nip-king-hung/,normal
ReverseDAO,6,Ken Ho,CTO,Takes part in this project only,linkedin,https://www.linkedin.com/in/mrkhc0626/,normal
ReverseDAO,7,Daniel Tang,Strategy | Finance,Takes part in this project only,linkedin,https://www.linkedin.com/in/daniel-tang-6aa2b063/,advsisor
BERTINITY,1,Abbas Bertina,CEO,Takes part in this project only,linkedin,https://www.linkedin.com/in/abbasbertina/,normal
BERTINITY,2,Sara Shakeri,COO ,Takes part in this project only,linkedin,https://www.linkedin.com/in/sara-shakeri/,normal
BERTINITY,3,Samin Sedghdel,Blockchain Specialist,Takes part in this project only,linkedin,https://www.linkedin.com/in/samin-sedghdel/,normal
BERTINITY,4,Navid Nazari,Blockchain Developer,Takes part in this project only,linkedin,https://www.linkedin.com/in/navid-reza-nazari/,normal
Brickken,1,Edwin Mata,CEO,Participates in several projects,linkedin,https://www.linkedin.com/in/edwinmatanavarro,normal
Brickken,2,Yassir Haouati,COO,Takes part in this project only,linkedin,https://www.linkedin.com/in/yassir-haouati/,normal
Brickken,3,Bram Duindam,CMO,Takes part in this project only,linkedin,https://www.linkedin.com/in/bramduindam/,normal
BERTINITY,5,Omid Asadi,CMO,Takes part in this project only,linkedin,https://www.linkedin.com/in/asadiomid/,normal
BERTINITY,6,Omid Ahmadi,PR and DM Specialist,Takes part in this project only,linkedin,https://www.linkedin.com/in/omid-ahmadi11/,normal
BERTINITY,7,Soheila Salari,Communication Specialist,Takes part in this project only,linkedin,https://www.linkedin.com/in/soheila-salari-b285b0108/,normal
Brickken,4,Ludovico Rossi,CSO,Takes part in this project only,linkedin,https://www.linkedin.com/in/ludovico-rossi/,normal
Brickken,5,Pedro Sandoval,CFO,Takes part in this project only,linkedin,https://www.linkedin.com/in/pedro-sandoval-57030b31/,normal
Brickken,6,Felipe D'Onofrio,CTO,Takes part in this project only,linkedin,https://www.linkedin.com/in/felipe-donofrio/,normal
Brickken,7,Matthew Ekroth  ,Takes part in this project only,No description,linkedin,https://www.linkedin.com/in/mekroth/   ,advsisor
Brickken,8,Hernan Mayol  ,Takes part in this project only,No description,linkedin,https://linkedin.com/in/hernanmayol   ,advsisor
Brickken,9,Ignacio Lopez del Moral  ,Takes part in this project only,No description,linkedin,https://linkedin.com/in/ignacio-l%C3%B3pez-del-moral-6b28b9142   ,advsisor
Brickken,10,Daniel Diez  ,Takes part in this project only,No description,linkedin,https://linkedin.com/in/danicellero   ,advsisor
Brickken,11,Daniel Fiore  ,Takes part in this project only,No description,linkedin,https://www.linkedin.com/in/daniel-fiore-076507220   ,advsisor
Brickken,12,Carlos Otermin Barrera  ,Takes part in this project only,No description,linkedin,https://www.linkedin.com/in/carlosotermin,advsisor
Brickken,13,Massimo Moretti,Takes part in this project only,No description,linkedin,https://www.linkedin.com/in/massimomorettiparis/,advsisor
Brickken,14,Giannis Andreou,Takes part in this project only,No description,linkedin,https://www.linkedin.com/in/giannis-andreou/,advsisor
Brickken,15,Fivos Radis,Takes part in this project only,No description,linkedin,https://www.linkedin.com/in/fivos-radis-287016239/,advsisor
EtherSportz,1,Matthew Skinner,Founder & Solution Architect,Takes part in this project only,linkedin,https://www.linkedin.com/in/skinnermatthew,normal
EtherSportz,2,Josh Lamont,Co-Founder & Solution Designer,Participates in several projects,linkedin,https://www.linkedin.com/in/josh-lamont-0a5121148/,normal
EtherSportz,3,Alex Trottier,Smart Contract Solidity Developer,Takes part in this project only,linkedin,https://www.linkedin.com/in/alexandre-trottier-872a118b/,normal
1World,1,Brad Kayton,Secretary; GM Data and IP,Participates in several projects,linkedin,https://www.linkedin.com/in/bradkayton/,normal
1World,2,Kyoko Watanabe,Director of DEFTA Partners,Participates in several projects,linkedin,https://www.linkedin.com/in/kyoko-watanabe-7a411/,normal
Temco,1,Geunil (Brian) Lee,"Co-founder, CTO",Takes part in this project only,linkedin,https://www.linkedin.com/in/brianleenj,normal
Temco,2,Jaeseob (Scott) Yoon,"Co-founder, CEO",Takes part in this project only,linkedin,https://www.linkedin.com/in/jsyoontemco,normal
Temco,3,Hongsub Lim,Co-Founder & COO,Takes part in this project only,linkedin,https://www.linkedin.com/in/hslimtemco,normal
1World,3,Vladimir Tyurenkov,Board Member since 2015,No participating data,website,http://hivedata.com/team/vladimir-tyurenkov/,normal
1World,4,Neville Taraporawalla,Managing Partner,Participates in several projects,linkedin,https://www.linkedin.com/in/nevilletaraporewalla/,normal
1World,5,David Schlesinger,"Tripod Advisors, CCTV News, Thomson Reuters (Chief Global), Global Editors Network",Participates in several projects,linkedin,https://www.linkedin.com/in/schles/,normal
1World,6,George Hara,CEO of DEFTA Partners Special Advisor to the Cabinet Office of the Prime Minister of Japan,No participating data,website,https://www.crunchbase.com/person/george-hara#/entity,normal
1World,7,Diana David,"Vice President Financial Times, Advisor to Nest.VC in Hong Kong",Participates in several projects,linkedin,https://www.linkedin.com/in/dianadavid/,normal
Temco,4,Yongchul Kim,Lead Developer,Takes part in this project only,linkedin,https://www.linkedin.com/in/yongchulkim,normal
Temco,5,Chris Hong,Lead Developer,Takes part in this project only,linkedin,https://www.linkedin.com/in/chris-hong-31356b17,normal
Temco,6,Joey Cho,Business Development Manager,Takes part in this project only,linkedin,https://www.linkedin.com/in/joey-kh-cho-19a7bb165,normal
Temco,7,Jon Kim,Marketing Manager,Takes part in this project only,linkedin,https://www.linkedin.com/in/jong-seong-kim-a62a9767,normal
Temco,8,Natasha Woo,Design Director,Takes part in this project only,linkedin,https://www.linkedin.com/in/natashawoo,normal
Temco,9,Suhan Hwang,UI/UX Lead Designer,Takes part in this project only,linkedin,https://www.linkedin.com/in/sunasuna,normal
1World,8,Namho Chung,"President of Keiretsu Forum Seoul, Korea Chapter X-Venture Labs",Participates in several projects,linkedin,https://www.linkedin.com/in/namho-chung-44836237/,normal
1World,9,Nathan McDonald,"CEO Keiretsu Capital, Head of Keiretsu North-West",Participates in several projects,linkedin,https://www.linkedin.com/in/nathanmcdonald1/,normal
1World,10,Piyush Puri,"VP of Brand Capital Worldwide, Times Group of India",Participates in several projects,linkedin,https://www.linkedin.com/in/piyushpuri/,normal
1World,11,John Ricci,"Head of US Angels,  MG Capital, Crimson Growth",Participates in several projects,linkedin,https://www.linkedin.com/in/jfricci/,normal
Temco,10,Kyungchul Kim,Front-End Developer,Takes part in this project only,linkedin,https://www.linkedin.com/in/kyungchulkim,normal
Temco,11,JIyun Lily Lee,Marketing Manager,Takes part in this project only,linkedin,https://www.linkedin.com/in/jiyunlilylee,normal
Temco,12,Saerom Sarah Hong,Marketing Manager,Takes part in this project only,linkedin,https://www.linkedin.com/in/saeromhong,normal
Temco,13,Adrian Lai,"Co-Founder, BlackHorse",Takes part in this project only,linkedin,https://www.linkedin.com/in/adrian-lai,normal
Temco,14,Brian Lee,"Managing Director, BlackHorse",Takes part in this project only,linkedin,https://www.linkedin.com/in/leetinka,normal
1World,12,James Zhang,"CEO, Concept Art House and Spellgun, Expert in Gaming Industry",Participates in several projects,linkedin,https://www.linkedin.com/in/conceptarthouse/,normal
1World,13,Greg Kahn,"Meredith Xcelerated, Publicis, Omnicom",Participates in several projects,linkedin,https://www.linkedin.com/in/greg-kahn-580848/,normal
1World,14,Dan Reich,"Forbes, Harvard Business Review, BuddyMedia (acq. by SalesForce)",Participates in several projects,linkedin,https://www.linkedin.com/in/danreich/,normal
1World,15,Greg Osberg,"CEO Revlyst, Ex-CEO Newsweek Philadelphia Media Network, CNET",Participates in several projects,linkedin,https://www.linkedin.com/in/gregory-j-osberg-131b814/,normal
1World,16,David Drake,Family office LDJ Capital Crypto advocate. GP & LP investor in real estate and hedge funds.,Participates in a number of projects,linkedin,https://www.linkedin.com/in/ldjcapital,normal
Dash 2 Trade D2T,1,Duco van Rossem   ,CPO,Takes part in this project only,linkedin,https://www.linkedin.com/in/duco-van-rossem-85700a25/,normal
